DepMap_ID,CCLE_Name,Primary_Disease,Wang_AML,Achilles_GECKO,Hart_TKOv1,Tzelepis_AML,Avana_Q4_18,Sanger_Q1_19,Avana_Q3_17,HART_shRNA
ACH-000028,KPL1_BREAST,BREAST CANCER,0,0,0,0,1,0,0,1
ACH-000029,HCC827GR5_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000030,PC14_LUNG,LUNG CANCER,0,0,0,0,1,1,1,0
ACH-000031,PANC0213_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,0,0,0
ACH-000032,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000033,NCIH1819_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000034,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000035,NCIH1650_LUNG,LUNG CANCER,0,0,0,0,1,1,1,0
ACH-000036,U343_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000037,S117_THYROID,SARCOMA,0,0,0,0,0,0,0,0
ACH-000371,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000052,A673_BONE,BONE CANCER,0,1,0,0,0,0,0,0
ACH-000040,U118MG_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000210,CADOES1_BONE,BONE CANCER,0,1,0,0,0,0,0,0
ACH-000042,PANC0203_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,1
ACH-000043,HS895T_FIBROBLAST,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-001393,SUM190PT_BREAST,BREAST CANCER,0,0,0,0,0,0,0,0
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,1,1,0,1,0
ACH-000046,ACHN_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000047,GCIY_STOMACH,GASTRIC CANCER,0,0,0,0,1,0,1,0
ACH-000048,TOV112D_OVARY,OVARIAN CANCER,0,1,0,0,0,1,0,0
ACH-000049,HEKTE_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000050,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MYELOMA,0,0,0,0,0,0,0,0
ACH-000051,TE617T_SOFT_TISSUE,SARCOMA,0,0,0,0,0,0,0,0
ACH-001022,CBAGPN_BONE,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000053,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,1,0,1,0
ACH-000054,HT1080_SOFT_TISSUE,SARCOMA,0,0,0,0,1,0,1,0
ACH-000055,D283MED_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000056,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000057,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MYELOMA,0,0,0,0,0,0,0,0
ACH-000058,ML1_THYROID,THYROID CANCER,0,0,0,0,0,0,0,0
ACH-000156,MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000060,PANC1005_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,1
ACH-000061,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000062,RERFLCMS_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000063,HS616T_FIBROBLAST,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000064,SALE_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000065,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,0,0,0,0,0
ACH-000066,HCC4006_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,1,1,0
ACH-000069,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-001498,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000071,HS706T_BONE,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-000072,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000220,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000074,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000075,U87MG_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,1,0,0
ACH-000076,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000077,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,1,0,1,0
ACH-000079,TE125T_FIBROBLAST,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,0,0,0
ACH-000081,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000082,G292CLONEA141B1_BONE,BONE CANCER,0,0,0,0,1,0,1,0
ACH-000083,HS281T_FIBROBLAST,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-000084,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000085,T3M4_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,0,0,0
ACH-000086,ACCMESO1_PLEURA,LUNG CANCER,0,0,0,0,1,0,0,0
ACH-000088,HS172T_FIBROBLAST,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-000089,NCIH684_LIVER,LIVER CANCER,0,0,0,0,0,0,0,0
ACH-000090,PC3_PROSTATE,PROSTATE CANCER,0,1,0,0,0,0,0,0
ACH-000091,OV56_OVARY,OVARIAN CANCER,0,0,0,0,0,0,0,1
ACH-000092,NCIH2452_PLEURA,LUNG CANCER,0,0,0,0,1,0,0,0
ACH-000093,PANC0504_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,0,0,0
ACH-000094,HPAFII_PANCREAS,PANCREATIC CANCER,0,0,1,0,0,1,0,0
ACH-000095,D341MED_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000096,G401_SOFT_TISSUE,RHABDOID,0,0,0,0,0,0,0,0
ACH-000097,ZR751_BREAST,BREAST CANCER,0,0,0,0,1,0,1,1
ACH-000098,GAMG_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,1,1,0
ACH-000099,SIMA_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,1,0,1,0
ACH-000100,RH41_SOFT_TISSUE,SARCOMA,0,0,0,0,0,0,0,0
ACH-000101,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,0,0,0
ACH-000103,CAOV4_OVARY,OVARIAN CANCER,0,0,0,0,0,1,0,0
ACH-000782,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,0,0,0
ACH-000938,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,0,0,0
ACH-000287,NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000107,CAPAN2_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,0,0,1
ACH-000108,KP3_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,1
ACH-000109,NCIH3255_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000110,NCCSTCK140_STOMACH,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-001820,COLO824_BREAST,BREAST CANCER,0,0,0,0,0,1,0,0
ACH-000112,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000113,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,1,1,1,0,0
ACH-000114,SU8686_PANCREAS,PANCREATIC CANCER,0,1,0,0,0,1,0,1
ACH-000115,VCAP_PROSTATE,PROSTATE CANCER,0,0,0,0,0,0,0,0
ACH-000116,OAW28_OVARY,OVARIAN CANCER,0,0,0,0,1,0,1,0
ACH-001395,SUM44PE_BREAST,BREAST CANCER,0,0,0,0,0,0,0,1
ACH-000118,HUPT3_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,0,0
ACH-000119,HS863T_FIBROBLAST,FIBROBLAST,0,0,0,0,0,0,0,0
ACH-000120,CHP212_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,1,1,1,0
ACH-000121,NCIH2405_LUNG,LUNG CANCER,0,0,0,0,0,1,0,0
ACH-000080,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000123,COV434_OVARY,OVARIAN CANCER,0,0,0,0,1,0,1,0
ACH-000124,OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,1,0,0
ACH-000125,TO175T_FIBROBLAST,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000126,KG1C_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,0,0,0
ACH-000127,SLR20_KIDNEY,KIDNEY CANCER,0,0,0,0,1,0,1,0
ACH-000128,LN319_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,0,0
ACH-000129,NCIH1341_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-001106,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000131,HS229T_FIBROBLAST,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000132,JHOS2_OVARY,OVARIAN CANCER,0,0,0,0,1,1,1,0
ACH-000133,HS729_SOFT_TISSUE,FIBROBLAST,0,0,0,0,1,0,1,0
ACH-000134,HS274T_FIBROBLAST,BREAST CANCER,0,0,0,0,0,0,0,0
ACH-000135,HS940T_FIBROBLAST,SKIN CANCER,0,0,0,0,0,0,0,0
ACH-000136,CHP126_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,0,0,0,0
ACH-000137,8MGBA_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,1,1,0
ACH-000138,CFPAC1_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,0,1,1
ACH-000139,PANC0327_PANCREAS,PANCREATIC CANCER,0,1,0,0,0,1,0,1
ACH-000140,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000141,SNU308_BILIARY_TRACT,GALLBLADDER CANCER,0,0,0,0,0,0,0,0
ACH-000142,CAL29_URINARY_TRACT,BLADDER CANCER,0,0,0,0,1,0,1,0
ACH-000143,HCC2429_LUNG,LUNG CANCER,0,0,0,0,1,0,0,0
ACH-000144,RERFGC1B_STOMACH,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-000145,SKLMS1_SOFT_TISSUE,SARCOMA,0,0,0,0,0,0,0,0
ACH-000146,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,0,1,0,1,0
ACH-000148,HS578T_BREAST,BREAST CANCER,0,0,0,0,1,1,1,1
ACH-000149,SKNSH_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,0,1,0,0
ACH-000150,HCC2935_LUNG,LUNG CANCER,0,0,0,0,1,0,0,0
ACH-000960,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,0,0,0
ACH-000152,M059K_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000153,NCIH2052_PLEURA,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000154,HS888T_FIBROBLAST,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000155,SW1990_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,1,0,0
ACH-000157,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000158,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000159,OSRC2_KIDNEY,KIDNEY CANCER,0,0,0,0,1,0,1,0
ACH-000160,BT12_SOFT_TISSUE,RHABDOID,0,0,0,0,0,0,0,0
ACH-000161,CORL105_LUNG,LUNG CANCER,0,1,0,0,0,0,0,0
ACH-000162,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000163,SW579_THYROID,THYROID CANCER,0,0,0,0,1,0,0,0
ACH-000164,PANC1_PANCREAS,PANCREATIC CANCER,0,1,0,0,0,0,0,0
ACH-000165,HS751T_FIBROBLAST,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000166,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000167,KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-000168,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,0,0,0
ACH-000169,RD_SOFT_TISSUE,SARCOMA,0,0,0,0,1,0,1,0
ACH-000170,PRECLH_PROSTATE,PROSTATE CANCER,0,0,0,0,0,0,0,0
ACH-000171,VMRCRCZ_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000172,TM87_SOFT_TISSUE,RHABDOID,0,0,0,0,0,0,0,0
ACH-000173,JHUEM3_ENDOMETRIUM,ENDOMETRIAL/UTERINE CANCER,0,0,0,0,0,0,0,0
ACH-000174,CAL62_THYROID,THYROID CANCER,0,0,0,0,0,0,0,0
ACH-000175,TE159T_FIBROBLAST,SARCOMA,0,0,0,0,0,0,0,0
ACH-000176,LOUNH91_LUNG,LUNG CANCER,0,0,0,0,0,1,0,0
ACH-000177,NCIH660_PROSTATE,PROSTATE CANCER,0,0,0,0,0,0,0,0
ACH-000178,HS766T_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,0,1,0
ACH-000179,NCIH1618_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000180,HS839T_FIBROBLAST,SKIN CANCER,0,0,0,0,0,0,0,0
ACH-000181,SCC9_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,0,1,0,0
ACH-000182,SNU869_BILIARY_TRACT,BILE DUCT CANCER,0,0,0,0,0,0,0,0
ACH-000183,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,1,1,0,0
ACH-000184,HS343T_FIBROBLAST,BREAST CANCER,0,0,0,0,0,0,0,0
ACH-000185,HS737T_FIBROBLAST,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000186,NCIH2444_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000187,CORL311_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000188,SCC25_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,1,0,0,0
ACH-000189,RCC10RGB_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000190,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,1,0,0,0
ACH-000191,BHT101_THYROID,THYROID CANCER,0,0,0,0,0,0,0,0
ACH-000192,MFE280_ENDOMETRIUM,ENDOMETRIAL/UTERINE CANCER,0,0,0,0,0,0,0,0
ACH-000193,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000194,HS934T_FIBROBLAST,SKIN CANCER,0,0,0,0,0,0,0,0
ACH-000195,SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000642,HMEL_BREAST,IMMORTALIZED,0,0,0,0,0,0,0,0
ACH-000198,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,0,1,0,0,0
ACH-000199,HS255T_FIBROBLAST,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000200,NMCG1_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,1,0,0
ACH-000201,A204_SOFT_TISSUE,SARCOMA,0,0,0,0,0,0,0,0
ACH-000202,COLO320_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000203,NH6_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,0,0,0,0
ACH-000204,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MYELOMA,0,0,0,0,0,1,0,0
ACH-000205,PK59_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,0,0,0
ACH-000206,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000207,DETROIT562_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,0,1,0,0
ACH-000208,U178_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,0,0,0
ACH-000209,SNU1079_BILIARY_TRACT,BILE DUCT CANCER,0,0,0,0,0,0,0,0
ACH-001029,CHLA10_BONE,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000211,DAOY_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000117,EFM192A_BREAST,BREAST CANCER,0,0,0,0,0,0,0,1
ACH-000213,HUPT4_PANCREAS,PANCREATIC CANCER,0,0,0,0,0,1,0,0
ACH-000214,HS675T_FIBROBLAST,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000215,LN382_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000216,JHESOAD1_OESOPHAGUS,ESOPHAGEAL CANCER,0,0,0,0,0,0,0,0
ACH-000217,JHH6_LIVER,LIVER CANCER,0,0,0,0,0,0,0,0
ACH-000218,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,1,0,0,0,0,0,0,0
ACH-000219,A375_SKIN,SKIN CANCER,0,1,0,0,0,1,0,0
ACH-000221,SNU398_LIVER,LIVER CANCER,0,0,0,0,1,0,1,0
ACH-000222,ASPC1_PANCREAS,PANCREATIC CANCER,0,0,1,0,1,1,0,1
ACH-000223,HCC1937_BREAST,BREAST CANCER,0,0,0,0,1,1,1,0
ACH-000224,HS819T_FIBROBLAST,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000225,ECC12_STOMACH,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-000226,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,1,0,1,0
ACH-000227,KPNYN_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,0,1,0,0
ACH-000228,BICR31_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,1,0,0,0
ACH-000229,HS822T_FIBROBLAST,BONE CANCER,0,0,0,0,0,0,0,0
ACH-000230,HS742T_FIBROBLAST,BREAST CANCER,0,0,0,0,0,0,0,0
ACH-000231,KALS1_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,0,1,0
ACH-000232,U251MG_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,1,1,1,0
ACH-000233,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,1,0,0,0
ACH-000234,CAKI2_KIDNEY,KIDNEY CANCER,0,0,0,0,0,0,0,0
ACH-000235,PANC0403_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,1
ACH-000236,SW1417_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000237,JHOM1_OVARY,OVARIAN CANCER,0,0,0,0,1,0,1,0
ACH-000238,SCC4_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,1,1,0,0
ACH-000239,HUG1N_STOMACH,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-000240,HS600T_FIBROBLAST,SKIN CANCER,0,0,0,0,0,0,0,0
ACH-000241,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000242,RT4_URINARY_TRACT,BLADDER CANCER,0,0,0,0,0,0,0,0
ACH-000243,DANG_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,0
ACH-000244,DKMG_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,1,0,0
ACH-000245,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000246,SLR23_KIDNEY,KIDNEY CANCER,0,0,0,0,1,0,1,0
ACH-000247,OCUM1_STOMACH,GASTRIC CANCER,0,0,0,0,0,0,0,0
ACH-000248,AU565_BREAST,BREAST CANCER,0,0,0,0,1,1,1,0
ACH-000249,CL11_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,0,1,0,0
ACH-000250,KMRC20_KIDNEY,KIDNEY CANCER,0,0,0,0,1,0,1,0
ACH-000251,NCIH2887_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000252,LS1034_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,0,0,0,0
ACH-000253,COLO201_LARGE_INTESTINE,COLON/COLORECTAL CANCER,0,0,0,0,1,0,0,0
ACH-000254,SCC15_UPPER_AERODIGESTIVE_TRACT,HEAD AND NECK CANCER,0,0,0,0,0,0,0,0
ACH-000255,LMSU_STOMACH,GASTRIC CANCER,0,0,0,0,1,0,0,0
ACH-000256,COV318_OVARY,OVARIAN CANCER,0,0,0,0,1,0,1,1
ACH-000257,CORL279_LUNG,LUNG CANCER,0,0,0,0,0,0,0,0
ACH-000258,DU4475_BREAST,BREAST CANCER,0,0,0,0,0,0,0,0
ACH-000259,KELLY_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,1,0,1,0
ACH-000260,SKNAS_AUTONOMIC_GANGLIA,NEUROBLASTOMA,0,0,0,0,1,1,1,0
ACH-000261,RERFLCAI_LUNG,LUNG CANCER,0,0,0,0,1,0,1,0
ACH-000262,UOK101_KIDNEY,KIDNEY CANCER,0,0,0,0,1,0,0,0
ACH-000263,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LEUKEMIA,0,0,0,0,0,0,0,0
ACH-000264,CALU6_LUNG,LUNG CANCER,0,0,0,0,1,0,1,0
ACH-000265,KP4_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,1,1,1
ACH-000266,SNU213_PANCREAS,PANCREATIC CANCER,0,0,0,0,1,0,1,0
ACH-000267,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LYMPHOMA,0,0,0,0,0,0,0,0
ACH-000268,SNU245_BILIARY_TRACT,BILE DUCT CANCER,0,0,0,0,0,0,0,0
ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,BRAIN CANCER,0,0,0,0,0,1,0,0
