Name	Primary_Site
SW837	LARGE_INTESTINE
U251MG	CENTRAL_NERVOUS_SYSTEM
WM793	SKIN
ZR751	BREAST
X143B	BONE
X42MGBA	CENTRAL_NERVOUS_SYSTEM
X5637	URINARY_TRACT
X59M	OVARY
X639V	URINARY_TRACT
X647V	URINARY_TRACT
X769P	KIDNEY
X8305C	THYROID
X8MGBA	CENTRAL_NERVOUS_SYSTEM
A2058	SKIN
AGS	STOMACH
BC3C	URINARY_TRACT
BFTC905	URINARY_TRACT
BFTC909	KIDNEY
BHY	UPPER_AERODIGESTIVE_TRACT
BICR22	UPPER_AERODIGESTIVE_TRACT
BICR6	UPPER_AERODIGESTIVE_TRACT
C32	SKIN
CAL27	UPPER_AERODIGESTIVE_TRACT
CAL78	BONE
CALU6	LUNG
CAS1	CENTRAL_NERVOUS_SYSTEM
CCFSTTG1	CENTRAL_NERVOUS_SYSTEM
CHAGOK1	LUNG
CJM	SKIN
COLO679	SKIN
COLO792	SKIN
COLO800	SKIN
DAOY	CENTRAL_NERVOUS_SYSTEM
EKVX	LUNG
ESS1	ENDOMETRIUM
F5	CENTRAL_NERVOUS_SYSTEM
FADU	UPPER_AERODIGESTIVE_TRACT
FU97	STOMACH
G292CLONEA141B1	BONE
GAMG	CENTRAL_NERVOUS_SYSTEM
GB1	CENTRAL_NERVOUS_SYSTEM
GCIY	STOMACH
GI1	CENTRAL_NERVOUS_SYSTEM
GSS	STOMACH
H4	CENTRAL_NERVOUS_SYSTEM
HARA	LUNG
HCC1419	BREAST
HCC1428	BREAST
HCC1937	BREAST
HEC1B	ENDOMETRIUM
HEC251	ENDOMETRIUM
HEC50B	ENDOMETRIUM
HEC6	ENDOMETRIUM
HGC27	STOMACH
HLF	LIVER
HMC18	BREAST
HS294T	SKIN
HS683	CENTRAL_NERVOUS_SYSTEM
HS729	SOFT_TISSUE
HS944T	SKIN
HT1080	SOFT_TISSUE
HT144	SKIN
HUH1	LIVER
HUH6	LIVER
IGR1	SKIN
IPC298	SKIN
JHH1	LIVER
JHH4	LIVER
JHH7	LIVER
JHOS2	OVARY
KALS1	CENTRAL_NERVOUS_SYSTEM
KMBC2	URINARY_TRACT
KMRC20	KIDNEY
KNS42	CENTRAL_NERVOUS_SYSTEM
KNS60	CENTRAL_NERVOUS_SYSTEM
KNS62	LUNG
KU1919	URINARY_TRACT
KYSE180	OESOPHAGUS
KYSE270	OESOPHAGUS
KYSE30	OESOPHAGUS
KYSE410	OESOPHAGUS
KYSE450	OESOPHAGUS
LI7	LIVER
LN18	CENTRAL_NERVOUS_SYSTEM
LN235	CENTRAL_NERVOUS_SYSTEM
LN382	CENTRAL_NERVOUS_SYSTEM
LN443	CENTRAL_NERVOUS_SYSTEM
LNZ308	CENTRAL_NERVOUS_SYSTEM
M059K	CENTRAL_NERVOUS_SYSTEM
MCAS	OVARY
MDAMB435S	SKIN
MFE319	ENDOMETRIUM
MKN45	STOMACH
NCIH1299	LUNG
NCIH1650	LUNG
NCIH1703	LUNG
NCIH2172	LUNG
NCIH838	LUNG
NUGC3	STOMACH
OAW28	OVARY
OE21	OESOPHAGUS
ONS76	CENTRAL_NERVOUS_SYSTEM
OSRC2	KIDNEY
OV90	OVARY
PANC1005	PANCREAS
PATU8988S	PANCREAS
PF382	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PK1	PANCREAS
PLCPRF5	LIVER
RD	SOFT_TISSUE
RERFLCAI	LUNG
RH30	SOFT_TISSUE
RKN	SOFT_TISSUE
RPMI7951	SKIN
RT11284	URINARY_TRACT
RVH421	SKIN
SCABER	URINARY_TRACT
SF295	CENTRAL_NERVOUS_SYSTEM
SF767	CENTRAL_NERVOUS_SYSTEM
SJSA1	BONE
SKBR3	BREAST
SKMEL24	SKIN
SKMES1	LUNG
SLR20	KIDNEY
SLR23	KIDNEY
SLR26	KIDNEY
SNGM	ENDOMETRIUM
SNU1	STOMACH
SNU398	LIVER
SNU449	LIVER
SNU685	ENDOMETRIUM
SUIT2	PANCREAS
SUPT1	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
T24	URINARY_TRACT
T98G	CENTRAL_NERVOUS_SYSTEM
TCCSUP	URINARY_TRACT
TE1	OESOPHAGUS
TEN	ENDOMETRIUM
U118MG	CENTRAL_NERVOUS_SYSTEM
U2OS	BONE
U343	CENTRAL_NERVOUS_SYSTEM
UACC62	SKIN
UMUC3	URINARY_TRACT
VMCUB1	URINARY_TRACT
WM1799	SKIN
WM2664	SKIN
WM983B	SKIN
YKG1	CENTRAL_NERVOUS_SYSTEM
